noc,noc_title,onet,onet_title
12,0012 Senior government managers and officials,11-1011.00,Chief Executives
13,"0013 Senior managers - financial, communications and other business services",11-1011.00,Chief Executives
14,"0014 Senior managers - health, education, social and community services and membership organizations",11-1011.00,Chief Executives
15,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11-1011.00,Chief Executives
16,"0016 Senior managers - construction, transportation, production and utilities",11-1011.00,Chief Executives
12,0012 Senior government managers and officials,11-1021.00,General and Operations Managers
13,"0013 Senior managers - financial, communications and other business services",11-1021.00,General and Operations Managers
14,"0014 Senior managers - health, education, social and community services and membership organizations",11-1021.00,General and Operations Managers
15,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11-1021.00,General and Operations Managers
16,"0016 Senior managers - construction, transportation, production and utilities",11-1021.00,General and Operations Managers
621,0621 Retail and wholesale trade managers,11-1021.00,General and Operations Managers
11,0011 Legislators,11-1031.00,Legislators
124,"0124 Advertising, marketing and public relations managers",11-2011.00,Advertising and Promotions Managers
1123,"1123 Professional occupations in advertising, marketing and public relations",11-2011.00,Advertising and Promotions Managers
124,"0124 Advertising, marketing and public relations managers",11-2021.00,Marketing Managers
601,0601 Corporate sales managers,11-2022.00,Sales Managers
124,"0124 Advertising, marketing and public relations managers",11-2031.00,Public Relations Managers
114,0114 Other administrative services managers,11-3011.00,Administrative Services Managers
213,0213 Computer and information systems managers,11-3021.00,Computer and Information Systems Managers
111,0111 Financial managers,11-3031.00,Financial Managers
111,0111 Financial managers,11-3031.01,Treasurers and Controllers
111,0111 Financial managers,11-3031.02,"Financial Managers, Branch or Department"
121,"0121 Insurance, real estate and financial brokerage managers",11-3031.02,"Financial Managers, Branch or Department"
122,"0122 Banking, credit and other investment managers",11-3031.02,"Financial Managers, Branch or Department"
112,0112 Human resources managers,11-3040.00,Human Resources Managers
112,0112 Human resources managers,11-3041.00,Compensation and Benefits Managers
112,0112 Human resources managers,11-3042.00,Training and Development Managers
112,0112 Human resources managers,11-3049.99,"Human Resources Managers, All Other"
911,0911 Manufacturing managers,11-3051.00,Industrial Production Managers
912,0912 Utilities managers,11-3051.00,Industrial Production Managers
113,0113 Purchasing managers,11-3061.00,Purchasing Managers
731,0731 Managers in transportation,11-3071.00,"Transportation, Storage, and Distribution Managers"
731,0731 Managers in transportation,11-3071.01,Transportation Managers
1215,"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",11-3071.02,Storage and Distribution Managers
821,0821 Managers in agriculture,11-9011.00,"Farm, Ranch, and Other Agricultural Managers"
822,0822 Managers in horticulture,11-9011.01,Nursery and Greenhouse Managers
821,0821 Managers in agriculture,11-9011.02,Crop and Livestock Managers
823,0823 Managers in aquaculture,11-9011.03,Aquacultural Managers
