NOC2016,noc_title_2016,NOC2006,noc_title_2006
0011,Legislators,A011,Legislators
0012,Senior government managers and officials,A011,Legislators
0012,Senior government managers and officials,A012,Senior government managers and officials
0013,"Senior managers - financial, communications and other business services",A013,"Senior managers - financial, communications and other business services"
0014,"Senior managers - health, education, social and community services and membership organizations",A014,"Senior managers - health, education, social and community services and membership organizations"
0015,"Senior managers - trade, broadcasting and other services, n.e.c.",A015,"Senior managers - trade, broadcasting and other services, n.e.c."
0016,"Senior managers - construction, transportation, production and utilities",A016,"Senior managers - goods production, utilities, transportation and construction"
0111,Financial managers,A111,Financial managers
0112,Human resources managers,A112,Human resources managers
0113,Purchasing managers,A113,Purchasing managers
0114,Other administrative services managers,A114,Other administrative services managers
0121,"Insurance, real estate and financial brokerage managers",A301,"Insurance, real estate and financial brokerage managers"
0122,"Banking, credit and other investment managers",A302,"Banking, credit and other investment managers"
0124,"Advertising, marketing and public relations managers",A131,"Sales, marketing and advertising managers"
0125,Other business services managers,A303,Other business services managers
0131,Telecommunication carriers managers,A311,Telecommunication carriers managers
0132,Postal and courier services managers,A312,Postal and courier services managers
0211,Engineering managers,A121,Engineering managers
0212,Architecture and science managers,A123,Architecture and science managers
0213,Computer and information systems managers,A122,Computer and information systems managers
0311,Managers in health care,A321,Managers in health care
0411,Government managers - health and social policy development and program administration,A331,Government managers - health and social policy development and program administration
0412,"Government managers - economic analysis, policy development and program administration",A332,"Government managers - economic analysis, policy development and program administration"
0413,Government managers - education policy development and program administration,A333,Government managers - education policy development and program administration
0414,Other managers in public administration,A334,Other managers in public administration
0421,Administrators - post-secondary education and vocational training,A322,Administrators - post-secondary education and vocational training
0422,School principals and administrators of elementary and secondary education,A323,School principals and administrators of elementary and secondary education
0423,"Managers in social, community and correctional services",A324,"Managers in social, community and correctional services"
0431,Commissioned police officers,A351,Commissioned police officers
0432,Fire chiefs and senior firefighting officers,A352,Fire chiefs and senior firefighting officers
0433,Commissioned officers of the Canadian Forces,A353,"Commissioned officers, armed forces"
0511,"Library, archive, museum and art gallery managers",A341,"Library, archive, museum and art gallery managers"
0512,"Managers - publishing, motion pictures, broadcasting and performing arts",A342,"Managers - publishing, motion pictures, broadcasting and performing arts"
0513,"Recreation, sports and fitness program and service directors",A343,"Recreation, sports and fitness program and service directors"
0601,Corporate sales managers,A131,"Sales, marketing and advertising managers"
0601,Corporate sales managers,A211,Retail trade managers
0621,Retail and wholesale trade managers,A211,Retail trade managers
0621,Retail and wholesale trade managers,G011,Retail trade supervisors
0631,Restaurant and food service managers,A221,Restaurant and food service managers
0632,Accommodation service managers,A222,Accommodation service managers
0651,"Managers in customer and personal services, n.e.c.",A361,Other services managers
0711,Construction managers,A371,Construction managers
0712,Home building and renovation managers,A372,Residential home builders and renovators
0714,Facility operation and maintenance managers,A141,Facility operation and maintenance managers
0731,Managers in transportation,A373,Transportation managers
0811,Managers in natural resources production and fishing,A381,Primary production managers (except agriculture)
0821,Managers in agriculture,I011,Farmers and farm managers
0822,Managers in horticulture,I014,Nursery and greenhouse operators and managers
0823,Managers in aquaculture,I017,Aquaculture operators and managers
0911,Manufacturing managers,A391,Manufacturing managers
0912,Utilities managers,A392,Utilities managers
1111,Financial auditors and accountants,B011,Financial auditors and accountants
1112,Financial and investment analysts,B012,Financial and investment analysts
1113,"Securities agents, investment dealers and brokers",B013,"Securities agents, investment dealers and brokers"
1114,Other financial officers,B014,Other financial officers
1121,Human resources professionals,B021,Specialists in human resources
1122,Professional occupations in business management consulting,B022,Professional occupations in business services to management
1123,"Professional occupations in advertising, marketing and public relations",F024,Professional occupations in public relations and communications
1211,"Supervisors, general office and administrative support workers",B411,"Supervisors, general office and administrative support clerks"
1212,"Supervisors, finance and insurance office workers",B412,"Supervisors, finance and insurance clerks"
1213,"Supervisors, library, correspondence and related information workers",B413,"Supervisors, library, correspondence and related information clerks"
1214,"Supervisors, mail and message distribution occupations",B414,"Supervisors, mail and message distribution occupations"
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",B415,"Supervisors, recording, distributing and scheduling occupations"
1221,Administrative officers,B311,Administrative officers
1222,Executive assistants,B312,Executive assistants
1223,Human resources and recruitment officers,B313,Personnel and recruitment officers
1224,Property administrators,B314,Property administrators
1225,Purchasing agents and officers,B315,Purchasing agents and officers
1226,Conference and event planners,B316,Conference and event planners
1227,Court officers and justices of the peace,B317,Court officers and justices of the peace
1228,"Employment insurance, immigration, border services and revenue officers",B318,"Immigration, employment insurance and revenue officers"
1241,Administrative assistants,B211,Secretaries (except legal and medical)
1242,Legal administrative assistants,B212,Legal secretaries
1243,Medical administrative assistants,B213,Medical secretaries
1251,"Court reporters, medical transcriptionists and related occupations",B214,Court recorders and medical transcriptionists
1252,Health information management occupations,B411,"Supervisors, general office and administrative support clerks"
1252,Health information management occupations,B513,Records management and filing clerks
1253,Records management technicians,B513,Records management and filing clerks
1254,Statistical officers and related research support occupations,C061,"Mathematicians, statisticians and actuaries"
1254,Statistical officers and related research support occupations,E034,"Social policy researchers, consultants and program officers"
1311,Accounting technicians and bookkeepers,B111,Bookkeepers
1312,Insurance adjusters and claims examiners,B113,Insurance adjusters and claims examiners
1313,Insurance underwriters,B114,Insurance underwriters
1314,"Assessors, valuators and appraisers",B115,"Assessors, valuators and appraisers"
1315,"Customs, ship and other brokers",B116,"Customs, ship and other brokers"
1411,General office support workers,B511,General office clerks
1411,General office support workers,B513,Records management and filing clerks
1411,General office support workers,B541,Administrative clerks
1414,Receptionists,B514,Receptionists and switchboard operators
1414,Receptionists,B524,Telephone operators
1415,Personnel clerks,B542,Personnel clerks
1416,Court clerks,B543,Court clerks
1422,Data entry clerks,B522,Data entry clerks
1423,Desktop publishing operators and related occupations,B523,Desktop publishing operators and related occupations
1431,Accounting and related clerks,B531,Accounting and related clerks
1432,Payroll clerks,B532,Payroll clerks
1434,"Banking, insurance and other financial clerks",B534,"Banking, insurance and other financial clerks"
1435,Collectors,B535,Collectors
1451,Library assistants and clerks,B551,Library clerks
