NOC2016,NOC2016_Title,Change_type,NOC2021,NOC2021_Title,Notes
11,Legislators,"VC1 - Code Change, VC2 - Name Change",10,Legislators,
12,Senior government managers and officials,"VC1 - Code Change, VC2 - Name Change",11,Senior government managers and officials,
13,"Senior managers - financial, communications and other business services","VC1 - Code Change, VC2 - Name Change",12,"Senior managers - financial, communications and other business services",
14,"Senior managers - health, education, social and community services and membership organizations","VC1 - Code Change, VC2 - Name Change",13,"Senior managers - health, education, social and community services and membership organizations",
15,"Senior managers - trade, broadcasting and other services, n.e.c.","VC1 - Code Change, VC2 - Name Change",14,"Senior managers - trade, broadcasting and other services",
16,"Senior managers - construction, transportation, production and utilities","VC1 - Code Change, VC2 - Name Change",15,"Senior managers - construction, transportation, production and utilities",
111,Financial managers,"VC1 - Code Change, VC2 - Name Change",10010,Financial managers,
112,Human resources managers,"RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",10011,Human resources managers,0112 continues as 10011 and part transferred to 11200 and 13110 and part split off to emerging item 22232
112,Human resources managers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",11200,Human resources professionals,0112 continues as 10011 and part transferred to 11200 and 13110 and part split off to emerging item 22232
112,Human resources managers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",13110,Administrative assistants,0112 continues as 10011 and part transferred to 11200 and 13110 and part split off to emerging item 22232
112,Human resources managers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",22232,Occupational health and safety specialists,0112 continues as 10011 and part transferred to 11200 and 13110 and part split off to emerging item 22232
113,Purchasing managers,"VC1 - Code Change, VC2 - Name Change",10012,Purchasing managers,
114,Other administrative services managers,"VC1 - Code Change, VC2 - Name Change",10019,Other administrative services managers,
121,"Insurance, real estate and financial brokerage managers","VC1 - Code Change, VC2 - Name Change",10020,"Insurance, real estate and financial brokerage managers",
122,"Banking, credit and other investment managers","VC1 - Code Change, VC2 - Name Change",10021,"Banking, credit and other investment managers",
124,"Advertising, marketing and public relations managers","VC1 - Code Change, VC2 - Name Change",10022,"Advertising, marketing and public relations managers",
125,Other business services managers,"VC1 - Code Change, VC2 - Name Change",10029,Other business services managers,
131,Telecommunication carriers managers,"VC1 - Code Change, VC2 - Name Change",10030,Telecommunication carriers managers,
132,Postal and courier services managers,"VC1 - Code Change, VC2 - Name Change",70021,Postal and courier services managers,
211,Engineering managers,"VC1 - Code Change, VC2 - Name Change",20010,Engineering managers,
212,Architecture and science managers,"VC1 - Code Change, VC2 - Name Change",20011,Architecture and science managers,
213,Computer and information systems managers,"VC1 - Code Change, VC2 - Name Change",20012,Computer and information systems managers,
311,Managers in health care,"VC1 - Code Change, VC2 - Name Change",30010,Managers in health care,
411,Government managers - health and social policy development and program administration,"VC1 - Code Change, VC2 - Name Change",40010,Government managers - health and social policy development and program administration,
412,"Government managers - economic analysis, policy development and program administration","VC1 - Code Change, VC2 - Name Change",40011,"Government managers - economic analysis, policy development and program administration",
413,Government managers - education policy development and program administration,"VC1 - Code Change, VC2 - Name Change",40012,Government managers - education policy development and program administration,
414,Other managers in public administration,"VC1 - Code Change, VC2 - Name Change",40019,Other managers in public administration,
421,Administrators - post-secondary education and vocational training,"VC1 - Code Change, VC2 - Name Change",40020,Administrators - post-secondary education and vocational training,
422,School principals and administrators of elementary and secondary education,"VC1 - Code Change, VC2 - Name Change",40021,School principals and administrators of elementary and secondary education,
423,"Managers in social, community and correctional services","VC1 - Code Change, VC2 - Name Change",40030,"Managers in social, community and correctional services",
431,Commissioned police officers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",40040,Commissioned police officers and related occupations in public protection services,0431 continues as 40040 and part split off to emerging item 41310
431,Commissioned police officers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",41310,Police investigators and other investigative occupations,0431 continues as 40040 and part split off to emerging item 41310
432,Fire chiefs and senior firefighting officers,"VC1 - Code Change, VC2 - Name Change",40041,Fire chiefs and senior firefighting officers,
433,Commissioned officers of the Canadian Armed Forces,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",10012,Purchasing managers,0433 continues as 40042 and part transferred to 10012
433,Commissioned officers of the Canadian Armed Forces,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",40042,Commissioned officers of the Canadian Armed Forces,0433 continues as 40042 and part transferred to 10012
511,"Library, archive, museum and art gallery managers","VC1 - Code Change, VC2 - Name Change",50010,"Library, archive, museum and art gallery managers",
512,"Managers - publishing, motion pictures, broadcasting and performing arts","VC1 - Code Change, VC2 - Name Change",50011,"Managers - publishing, motion pictures, broadcasting and performing arts",
513,"Recreation, sports and fitness program and service directors","VC1 - Code Change, VC2 - Name Change",50012,"Recreation, sports and fitness program and service directors",
601,Corporate sales managers,"VC1 - Code Change, VC2 - Name Change",60010,Corporate sales managers,
621,Retail and wholesale trade managers,"VC1 - Code Change, VC2 - Name Change",60020,Retail and wholesale trade managers,
631,Restaurant and food service managers,"VC1 - Code Change, VC2 - Name Change",60030,Restaurant and food service managers,
632,Accommodation service managers,"VC1 - Code Change, VC2 - Name Change",60031,Accommodation service managers,
651,"Managers in customer and personal services, n.e.c.","VC1 - Code Change, VC2 - Name Change",60040,Managers in customer and personal services,
711,Construction managers,"VC1 - Code Change, VC2 - Name Change",70010,Construction managers,
712,Home building and renovation managers,"VC1 - Code Change, VC2 - Name Change",70011,Home building and renovation managers,
714,Facility operation and maintenance managers,"VC1 - Code Change, VC2 - Name Change",70012,Facility operation and maintenance managers,
731,Managers in transportation,"VC1 - Code Change, VC2 - Name Change",70020,Managers in transportation,
811,Managers in natural resources production and fishing,"VC1 - Code Change, VC2 - Name Change",80010,Managers in natural resources production and fishing,
821,Managers in agriculture,"VC1 - Code Change, VC2 - Name Change",80020,Managers in agriculture,
822,Managers in horticulture,"VC1 - Code Change, VC2 - Name Change",80021,Managers in horticulture,
823,Managers in aquaculture,"VC1 - Code Change, VC2 - Name Change",80022,Managers in aquaculture,
911,Manufacturing managers,"VC1 - Code Change, VC2 - Name Change",90010,Manufacturing managers,
912,Utilities managers,"VC1 - Code Change, VC2 - Name Change",90011,Utilities managers,
1111,Financial auditors and accountants,"VC1 - Code Change, VC2 - Name Change",11100,Financial auditors and accountants,
1112,Financial and investment analysts,"VC1 - Code Change, VC2 - Name Change",11101,Financial and investment analysts,
1113,"Securities agents, investment dealers and brokers","VC1 - Code Change, VC2 - Name Change",11103,"Securities agents, investment dealers and brokers",
1114,Other financial officers,"RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",11100,Financial auditors and accountants,1114 continues as 11109 and part transferred to 11100 and part split off to emerging item 11102
1114,Other financial officers,"RC4.2 - Split off, VC1 - Code Change, VC2 - Name Change",11102,Financial advisors,1114 continues as 11109 and part transferred to 11100 and part split off to emerging item 11102
1114,Other financial officers,"RC4.2 - Split off, RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",11109,Other financial officers,1114 continues as 11109 and part transferred to 11100 and part split off to emerging item 11102
1121,Human resources professionals,"VC1 - Code Change, VC2 - Name Change",11200,Human resources professionals,
1122,Professional occupations in business management consulting,"VC1 - Code Change, VC2 - Name Change",11201,Professional occupations in business management consulting,
1123,"Professional occupations in advertising, marketing and public relations","RC5 - Transfer, VC1 - Code Change, VC2 - Name Change",10022,"Advertising, marketing and public relations managers",1123 continues as 11202 and part transferred to 11201 and 64409
