noc,noc_title,onet,onet_title
0011,0011 Legislators,11-1031.00,Legislators
0012,0012 Senior government managers and officials,11-1011.00,Chief Executives
0012,0012 Senior government managers and officials,11-1011.03,Chief Sustainability Officers
0012,0012 Senior government managers and officials,11-1021.00,General and Operations Managers
0013,"0013 Senior managers - financial, communications and other business services",11-1011.00,Chief Executives
0013,"0013 Senior managers - financial, communications and other business services",11-1011.03,Chief Sustainability Officers
0013,"0013 Senior managers - financial, communications and other business services",11-1021.00,General and Operations Managers
0014,"0014 Senior managers - health, education, social and community services and membership organizations",11-1011.00,Chief Executives
0014,"0014 Senior managers - health, education, social and community services and membership organizations",11-1011.03,Chief Sustainability Officers
0014,"0014 Senior managers - health, education, social and community services and membership organizations",11-1021.00,General and Operations Managers
0014,"0014 Senior managers - health, education, social and community services and membership organizations",11-9199.00,"Managers, All Other"
0015,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11-1011.00,Chief Executives
0015,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11-1011.03,Chief Sustainability Officers
0015,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11-9061.00,Funeral Service Managers
0015,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11-9071.00,Gaming Managers
0015,"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11-1021.00,General and Operations Managers
0016,"0016 Senior managers - construction, transportation, production and utilities",11-1011.00,Chief Executives
0016,"0016 Senior managers - construction, transportation, production and utilities",11-1011.03,Chief Sustainability Officers
0016,"0016 Senior managers - construction, transportation, production and utilities",11-1021.00,General and Operations Managers
0111,0111 Financial managers,11-9199.02,Compliance Managers
0111,0111 Financial managers,11-3031.00,Financial Managers
0111,0111 Financial managers,11-3031.02,"Financial Managers, Branch or Department"
0111,0111 Financial managers,11-3031.01,Treasurers and Controllers
0112,0112 Human resources managers,11-3121.00,Human Resources Managers
0113,0113 Purchasing managers,11-3061.00,Purchasing Managers
0113,0113 Purchasing managers,11-9199.04,Supply Chain Managers
0114,0114 Other administrative services managers,11-3011.00,Administrative Services Managers
0121,"0121 Insurance, real estate and financial brokerage managers",11-3031.02,"Financial Managers, Branch or Department"
0122,"0122 Banking, credit and other investment managers",11-3031.02,"Financial Managers, Branch or Department"
0122,"0122 Banking, credit and other investment managers",11-9199.03,Investment Fund Managers
